ABotIsoID	PhaseID	SampleID	ItemID	TaxonCode	anatomy	preservation	preservation_score	number_of_samples	sample_notes	δ13C(‰)	δ13C_corrected(‰)	δ15N(‰)	δ15N_corrected(‰)	Δ13C_difference(‰)	C(%)	N(%)	C/N	CitationID	time_added	user_added	time_last_update	user_last_update
ID100080	ODLA77	306.309	\N	MALUSYL	fruit: pip	burnt: charred	\N	4	\N	-26.4	\N	-2	\N	20.6	\N	\N	51.1	\N	2022-06-22 11:12:51	emily@localhost	2022-06-22 11:12:51	emily@localhost
ID100081	ODLA77	306.309	\N	MALUSYL	fruit: pip	burnt: charred	\N	4	\N	-28.1	\N	-1.3	\N	22.3	\N	\N	47.1	\N	2022-06-22 11:12:51	emily@localhost	2022-06-22 11:12:51	emily@localhost
ID100368	ODLA77	264	\N	HORSNAK	seed/grain	burnt: charred	\N	10	\N	-23.7	\N	0.1	\N	17.7	\N	\N	17	\N	2022-06-22 11:12:51	emily@localhost	2022-06-22 11:12:51	emily@localhost
ID100369	ODLA77	10225	\N	TRITDIC	seed/grain	burnt: charred	\N	10	\N	-21.9	\N	2.8	\N	15.9	\N	\N	16.8	\N	2022-06-22 11:12:51	emily@localhost	2022-06-22 11:12:51	emily@localhost
ID100410	ODLA77	65	\N	HORSNAK	seed/grain	burnt: charred	\N	15	\N	-22.3	\N	5.6	\N	16.3	\N	\N	16.4	\N	2022-06-22 11:12:51	emily@localhost	2022-06-22 11:12:51	emily@localhost
ID100411	ODLA77	252	\N	TRITDIC	seed/grain	burnt: charred	\N	15	\N	-23.1	\N	4.3	\N	17.2	\N	\N	19.6	\N	2022-06-22 11:12:51	emily@localhost	2022-06-22 11:12:51	emily@localhost
ID100412	ODLA77	252	\N	HORSNAK	seed/grain	burnt: charred	\N	15	\N	-24.5	\N	2.5	\N	18.6	\N	\N	18	\N	2022-06-22 11:12:51	emily@localhost	2022-06-22 11:12:51	emily@localhost
ID100413	ODLA77	256	\N	TRITDIC	seed/grain	burnt: charred	\N	15	\N	-24	\N	3	\N	18	\N	\N	24.6	\N	2022-06-22 11:12:51	emily@localhost	2022-06-22 11:12:51	emily@localhost
ID100414	ODLA77	257	\N	TRITDIC	seed/grain	burnt: charred	\N	15	\N	-22.3	\N	2.4	\N	16.3	\N	\N	17.5	\N	2022-06-22 11:12:51	emily@localhost	2022-06-22 11:12:51	emily@localhost
ID100415	ODLA77	270	\N	HORSNAK	seed/grain	burnt: charred	\N	15	\N	-23.8	\N	0.6	\N	17.8	\N	\N	19.5	\N	2022-06-22 11:12:51	emily@localhost	2022-06-22 11:12:51	emily@localhost
