SampleID	PhaseID	TaxonCode	TaxonCodeConfidence	Anatomy1	Anatomy2	Anatomy3	Anatomy4	preservation_type_1	preservation_type_2	TotalCount	NumberOfContexts	Ubiquity	time_added	user_added	time_last_update	user_last_update
926780	SKEPEN	CEREIND	yes	seed/grain	\N	\N	\N	burnt: charred	\N	3	1	\N	2022-08-18 17:21:49	claudia@localhost	2025-03-21 15:17:23	adrian@localhost
927924	SEREBRY	HORSHUL	yes	seed/grain	\N	\N	\N	impressed: pottery/plaster/daub	\N	1	\N	\N	2023-02-20 10:06:33	natalya@localhost	2025-03-21 15:02:23	adrian@localhost
920186	VVLP	HORSHUL	yes	seed/grain	\N	\N	\N	burnt: charred	\N	14	7	0.368	2022-03-29 10:26:31	adrian@localhost	2025-03-21 15:02:23	adrian@localhost
920187	VVLP	TRIFTWH	no	seed/grain	\N	\N	\N	burnt: charred	\N	3	2	0.105	2022-03-29 09:50:18	adrian@localhost	2025-03-21 15:17:02	adrian@localhost
920188	VVLP	TRITDIC	yes	chaff: spikelet fork	\N	\N	\N	burnt: charred	\N	1	1	0.053	2022-03-29 08:46:17	adrian@localhost	2025-03-21 15:02:23	adrian@localhost
920189	VVLP	TRIMODI	no	chaff: spikelet fork	\N	\N	\N	burnt: charred	\N	4	3	0.158	2022-03-29 08:50:14	adrian@localhost	2025-03-21 15:17:02	adrian@localhost
920190	VVLP	TRITSPE	yes	seed/grain	\N	\N	\N	burnt: charred	\N	1	1	0.053	\N	\N	2025-03-21 15:17:17	adrian@localhost
920191	VVLP	CEREIND	yes	seed/grain	\N	\N	\N	burnt: charred	\N	\N	19	1	2022-03-29 10:21:01	adrian@localhost	2025-03-21 15:17:23	adrian@localhost
920192	VVLP	CEREIND	yes	chaff: glume	chaff: husk	chaff: glume base	\N	burnt: charred	\N	\N	9	0.474	2022-03-29 11:05:58	adrian@localhost	2025-03-21 15:17:23	adrian@localhost
920193	VVLP	POLYCON	yes	seed/grain	\N	\N	\N	burnt: charred	\N	7	6	0.316	\N	\N	2025-03-21 15:02:23	adrian@localhost
920194	VVLP	ATRPAHA	no	seed/grain	\N	\N	\N	burnt: charred	\N	3	2	0.105	\N	\N	2025-03-21 15:17:02	adrian@localhost
920195	VVLP	CHENALB	yes	seed/grain	\N	\N	\N	burnt: charred	\N	\N	9	0.474	\N	\N	2025-03-21 15:02:23	adrian@localhost
920196	VVLP	CHENHYB	yes	seed/grain	\N	\N	\N	burnt: charred	\N	2	2	0.105	\N	\N	2025-03-21 15:02:23	adrian@localhost
920197	VVLP	CHENPOL	yes	seed/grain	\N	\N	\N	burnt: charred	\N	2	2	0.105	\N	\N	2025-03-21 15:17:23	adrian@localhost
920198	VVLP	CHENSPE	yes	seed/grain	\N	\N	\N	burnt: charred	\N	\N	6	0.316	\N	\N	2025-03-21 15:17:17	adrian@localhost
920199	VVLP	CHENIND	yes	seed/grain	\N	\N	\N	burnt: charred	\N	\N	2	0.105	\N	\N	2025-03-21 15:17:23	adrian@localhost
920200	VVLP	GALIAPA	yes	seed/grain	\N	\N	\N	burnt: charred	\N	\N	3	0.158	\N	\N	2025-03-21 15:02:23	adrian@localhost
920201	VVLP	POLYAVI	yes	seed/grain	\N	\N	\N	burnt: charred	\N	1	1	0.053	\N	\N	2025-03-21 15:17:23	adrian@localhost
920202	VVLP	POLYLAP	yes	seed/grain	\N	\N	\N	burnt: charred	\N	\N	6	0.316	\N	\N	2025-03-21 15:02:23	adrian@localhost
920203	VVLP	POLLAPE	no	seed/grain	\N	\N	\N	burnt: charred	\N	\N	6	0.316	\N	\N	2025-03-21 15:17:02	adrian@localhost
920204	VVLP	MEDILUP	yes	seed/grain	\N	\N	\N	burnt: charred	\N	1	1	0.053	\N	\N	2025-03-21 15:02:23	adrian@localhost
920205	VVLP	PHLEPRA	yes	seed/grain	\N	\N	\N	burnt: charred	\N	5	5	0.263	\N	\N	2025-03-21 15:02:23	adrian@localhost
920206	VVLP	RUMEACE	yes	seed/grain	\N	\N	\N	burnt: charred	\N	8	6	0.316	\N	\N	2025-03-21 15:02:23	adrian@localhost
920207	VVLP	SILENUT	no	seed/grain	\N	\N	\N	burnt: charred	\N	1	1	0.053	\N	\N	2025-03-21 15:17:02	adrian@localhost
920208	VVLP	AVENSPE	yes	seed/grain	\N	\N	\N	burnt: charred	\N	2	2	0.105	\N	\N	2025-03-21 15:17:17	adrian@localhost
920209	VVLP	LEGUINL	yes	seed/grain	\N	\N	\N	burnt: charred	\N	\N	4	0.211	\N	\N	2025-03-21 15:17:23	adrian@localhost
920210	VVLP	RUMESPE	yes	seed/grain	\N	\N	\N	burnt: charred	\N	1	1	0.053	\N	\N	2025-03-21 15:17:17	adrian@localhost
920211	VVLP	SAMBSPE	yes	seed/grain	\N	\N	\N	burnt: charred	\N	1	1	0.053	\N	\N	2025-03-21 15:17:17	adrian@localhost
920212	VVLP	TRIFSPE	yes	seed/grain	\N	\N	\N	burnt: charred	\N	1	1	0.053	\N	\N	2025-03-21 15:17:17	adrian@localhost
920213	VVLP	VICISPE	yes	seed/grain	\N	\N	\N	burnt: charred	\N	1	1	0.053	\N	\N	2025-03-21 15:17:17	adrian@localhost
920214	VVLP	CORYAVE	yes	nut: nutshell	\N	\N	\N	burnt: charred	\N	\N	3	0.158	\N	\N	2025-03-21 15:02:23	adrian@localhost
920215	VVLP	CRATLAE	yes	fruit: stone	\N	\N	\N	burnt: charred	\N	\N	2	0.105	\N	\N	2025-03-21 15:02:23	adrian@localhost
920216	VVLP	PRUNSPI	yes	fruit: stone	\N	\N	\N	burnt: charred	\N	2	2	0.105	\N	\N	2025-03-21 15:02:23	adrian@localhost
920217	VVLP	QUERSPE	yes	seed: cotyledon	seed/grain	\N	\N	burnt: charred	\N	\N	6	0.316	\N	\N	2025-03-21 15:17:17	adrian@localhost
920218	VVLP	ROSASPE	yes	seed/grain	\N	\N	\N	burnt: charred	\N	1	1	0.053	\N	\N	2025-03-21 15:17:17	adrian@localhost
927956	MALOSN	TRITDIC	yes	seed/grain	\N	\N	\N	impressed: pottery/plaster/daub	\N	1	\N	\N	2023-03-01 15:33:25	natalya@localhost	2025-03-21 15:02:23	adrian@localhost
924105	BELO1	TRITFTW	no	seed/grain	\N	\N	\N	burnt: charred	\N	\N	1	\N	2022-03-31 19:47:25	claudia@localhost	2025-03-21 15:17:02	adrian@localhost
924106	BELO1	HORSHUN	yes	seed/grain	\N	\N	\N	burnt: charred	\N	\N	1	\N	2022-03-31 19:47:22	claudia@localhost	2025-03-21 15:02:23	adrian@localhost
