C14ID	PhaseID	SiteID	ItemID	Period	Method	C14.Age	C14.SD	δ13C	δ13C.SD	C/N_collagen	LabID	Prefix	AltLabID	AltPrefix	TaxonCode	Material	Preservation	ABotAnatomy	SkeletalElement	Quantity	MaterialNotes	Flag	ContextType	Context	CitationID	time_added	user_added	time_last_update	user_last_update
6274	\N	S03631	\N	\N	\N	5815	35	\N	\N	\N	Lyon-3489	Lyon	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	2024-08-21 16:32:09	adrian@localhost
6275	STLU1	S03631	\N	MN	\N	5760	100	\N	\N	\N	Ly-4486	Ly	\N	\N	\N	charcoal	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	2024-09-20 16:47:45	robert@localhost
38324	VESBI1	S20610	\N	EE	\N	5610	40	\N	\N	\N	Beta-214589	Beta	\N	\N	\N	charcoal	\N	\N	\N	\N	\N	\N	funerary: grave	F71;grave;burial;placed above an extracted post inside of the palisade, EU7-58	yerke2009a	2025-05-15 15:59:27	jan_kolar@localhost	2025-05-15 15:59:27	jan_kolar@localhost
38325	VESBI1	S20610	\N	EE	\N	5700	40	\N	\N	\N	Beta-162065	Beta	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	settlement	F2 circular pit fill EU1-13	yerke2009a	2025-05-15 15:59:27	jan_kolar@localhost	2025-05-15 15:59:27	jan_kolar@localhost
38326	VESBI1	S20610	\N	EE	\N	5660	40	\N	\N	\N	Beta-162066	Beta	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	habitation: house	F4;unspecified feature;house;floor level, EU2-18	yerke2009a	2025-05-15 15:59:27	jan_kolar@localhost	2025-05-15 15:59:27	jan_kolar@localhost
38327	VESBI1	S20610	\N	EE	\N	5320	60	\N	\N	\N	Beta-162067	Beta	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	settlement	4;layer;daub layer;above floor level, EU2-27	yerke2009a	2025-05-15 15:59:27	jan_kolar@localhost	2025-05-15 15:59:27	jan_kolar@localhost
38328	VESBI1	S20610	\N	EE	\N	5480	40	\N	\N	\N	Beta-162068	Beta	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	habitation: house	F4;layer;house;floor level, EU2-37	yerke2009a	2025-05-15 15:59:27	jan_kolar@localhost	2025-05-15 15:59:27	jan_kolar@localhost
38329	VESBI1	S20610	\N	EE	\N	5790	100	\N	\N	\N	Beta-162069	Beta	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	habitation: house	F4;unspecified feature;house;floor level, EU2-37	yerke2009a	2025-05-15 15:59:27	jan_kolar@localhost	2025-05-15 15:59:27	jan_kolar@localhost
38330	VESBI1	S20610	\N	EE	\N	5490	50	\N	\N	\N	Beta-162070	Beta	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	settlement	F5;unspecified feature;house;base of plowzone ?, EU3-4	yerke2009a	2025-05-15 15:59:27	jan_kolar@localhost	2025-05-15 15:59:27	jan_kolar@localhost
38331	VESBI1	S20610	\N	EE	\N	5430	40	\N	\N	\N	Beta-162071	Beta	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	settlement	Block 4 midden base of plowzone EU4-3	yerke2009a	2025-05-15 15:59:27	jan_kolar@localhost	2025-05-15 15:59:27	jan_kolar@localhost
