MetricID	BoneID	Measurement	PhaseID	TaxonCode	SkeletalElement	Sex	Castrate	Value	time_added	user_added	time_last_update	user_last_update
M043995	B11266	Bd	DRZ	bostaur	femur	0.5	\N	64.9	\N	\N	2022-06-29 12:36:27	Rscripts@localhost
M044000	B11267	Bd	DRZ	bostaur	femur	0.5	\N	97.8	\N	\N	2022-06-29 12:36:27	Rscripts@localhost
M044005	B11268	Bd	DRZ	bostaur	femur	0.5	\N	84.5	\N	\N	2022-06-29 12:36:27	Rscripts@localhost
M044010	B11269	SD	DRZ	bostaur	humerus	0.5	\N	33.1	\N	\N	2022-06-29 12:36:26	Rscripts@localhost
M044016	B11270	SD	DRZ	bostaur	humerus	0.5	\N	41	\N	\N	2022-06-29 12:36:26	Rscripts@localhost
M044022	B11271	GL	DRZ	bostaur	metacarpal	0.5	\N	200.8	\N	\N	2022-06-29 12:36:26	Rscripts@localhost
M044023	B11271	SD	DRZ	bostaur	metacarpal	0.5	\N	38.4	\N	\N	2022-06-29 12:36:26	Rscripts@localhost
M044027	B11272	SD	DRZ	bostaur	metacarpal	0.5	\N	38.6	\N	\N	2022-06-29 12:36:26	Rscripts@localhost
M044032	B11273	GL	DRZ	bostaur	metatarsal	0.5	\N	211.8	\N	\N	2022-06-29 12:36:25	Rscripts@localhost
M044038	B11274	Bd	DRZ	bostaur	radius	0.5	\N	63.3	\N	\N	2022-06-29 12:36:26	Rscripts@localhost
M044044	B11275	Bd	DRZ	bostaur	radius	0.5	\N	68.9	\N	\N	2022-06-29 12:36:26	Rscripts@localhost
M044050	B11276	SD	DRZ	bostaur	tibia	0.5	\N	44.9	\N	\N	2022-06-29 12:36:26	Rscripts@localhost
M044055	B11277	SD	DRZ	bostaur	tibia	0.5	\N	49.1	\N	\N	2022-06-29 12:36:26	Rscripts@localhost
M044060	B11278	SD	DRZ	bostaur	tibia	0.5	\N	47.6	\N	\N	2022-06-29 12:36:26	Rscripts@localhost
M044065	B11279	Bd	DRZ	susscrd	astragalus	0.5	\N	24.2	\N	\N	2022-06-29 12:36:26	Rscripts@localhost
M044066	B11279	GLl	DRZ	susscrd	astragalus	0.5	\N	43.2	\N	\N	2022-06-29 12:36:26	Rscripts@localhost
M044067	B11279	GLm	DRZ	susscrd	astragalus	0.5	\N	39.5	\N	\N	2022-06-29 12:36:26	Rscripts@localhost
M044074	B11280	Bd	DRZ	susscrd	astragalus	0.5	\N	31.4	\N	\N	2022-06-29 12:36:26	Rscripts@localhost
M044075	B11280	GLl	DRZ	susscrd	astragalus	0.5	\N	54.3	\N	\N	2022-06-29 12:36:26	Rscripts@localhost
