FaunalSpeciesID	PhaseID	TaxonCode	NISP	SpeciesNote	AgeCriteriaBF	AgeCriteriaDA	AgeCriteriaDE	AgeNote	AgeTrend	HorncoreNote	HorncoreShape	Pathology	PathologyNote	PresenceOfFoetals	PresenceOnly	SexCriteriaME	SexCriteriaMO	SexNote	SexTrend	CitationID	time_added	user_added	time_last_update	user_last_update
FS2011007	HETER1	bostaur	175	only NISP of the main domesticates was published in the paper	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	groot2024a	2024-07-12 11:14:53	jelena@localhost	2024-07-12 11:14:53	jelena@localhost
FS2011008	HETER1	oviscap	28	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	groot2024a	2024-07-12 11:14:53	jelena@localhost	2024-07-12 11:14:53	jelena@localhost
FS2011009	HETER1	susscrd	11	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	groot2024a	2024-07-12 11:14:53	jelena@localhost	2024-07-12 11:14:53	jelena@localhost
FS2011010	HETER1	equucab	35	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	groot2024a	2024-07-12 11:14:53	jelena@localhost	2024-07-12 11:14:53	jelena@localhost
FS1627778	TBO	abrabra	118	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1627779	TBO	anguang	7	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1627780	TBO	bosprim	11	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1627781	TBO	bostaur	1861	\N	yes	yes	yes	\N	Mainly young	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1627782	TBO	canifam	5	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1627783	TBO	caprcap	6	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1627784	TBO	cervela	13	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1627785	TBO	cyprind	639	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1627786	TBO	erineur	3	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1627787	TBO	esoxluc	65	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1627788	TBO	lepueur	1	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1627789	TBO	leuccep	10	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1627790	TBO	oviscap	224	\N	yes	yes	yes	\N	Mainly young	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1627791	TBO	percflu	29	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
