GraveID	GraveName	PhaseID	GraveDepth	HumanMNI	CitationID	ItemID	notes	time_added	user_added	time_last_update	user_last_update
G02622	feature 14/15	KOR3	\N	1	olald2018a	\N	\N	\N	\N	2022-03-28 20:55:38	robert@localhost
G02623	feature 1562/13	KOR3	\N	1	olald2018a	\N	\N	\N	\N	2022-03-28 20:55:38	robert@localhost
G02624	feature 1561/13	KOR3	\N	1	olald2018a	\N	\N	\N	\N	2022-03-28 20:55:38	robert@localhost
G02625	feature 34/15	KOR3	\N	1	olald2018a	\N	\N	\N	\N	2022-03-28 20:55:38	robert@localhost
G02626	\N	KOR3	\N	1	olald2018a	\N	reported presence of a grave; no further data	\N	\N	2022-03-28 20:55:38	robert@localhost
G02627	\N	KOR3	\N	1	olald2018a	\N	reported presence of a grave; no further data	\N	\N	2022-03-28 20:55:38	robert@localhost
G02628	\N	KOR3	\N	1	olald2018a	\N	reported presence of a grave; no further data	\N	\N	2022-03-28 20:55:38	robert@localhost
G02629	\N	KOR3	\N	1	olald2018a	\N	reported presence of a grave; no further data	\N	\N	2022-03-28 20:55:38	robert@localhost
G09276	Fire Lighter #1	STOREFL1	\N	1	allen2022a	\N	\N	2023-01-20 14:11:06	robert@localhost	2023-01-20 14:11:06	robert@localhost
G09277	Fire Lighter #2	STOREFL1	\N	1	allen2022a	\N	\N	2023-01-20 14:11:06	robert@localhost	2023-01-20 14:11:06	robert@localhost
G14240	BGA 1	BAUIA	\N	1	hrnčí2019a	\N	\N	2024-11-01 13:02:23	sam@localhost	2024-11-01 13:02:23	sam@localhost
G14241	BGA 3	BAUIA	\N	1	hrnčí2019a	\N	\N	2024-11-01 13:02:23	sam@localhost	2024-11-01 13:02:23	sam@localhost
G14242	BGA 4_1	BAUIA	\N	1	hrnčí2019a	\N	\N	2024-11-01 13:02:23	sam@localhost	2024-11-01 13:02:23	sam@localhost
G14243	BGA 6	BAUIA	\N	1	hrnčí2019a	\N	\N	2024-11-01 13:02:23	sam@localhost	2024-11-01 13:02:23	sam@localhost
G14244	BGA 300	BAUIA	\N	1	hrnčí2019a	\N	\N	2024-11-01 13:02:23	sam@localhost	2024-11-01 13:02:23	sam@localhost
G14245	BGA 302	BAUIA	\N	1	hrnčí2019a	\N	\N	2024-11-01 13:02:23	sam@localhost	2024-11-01 13:02:23	sam@localhost
G14246	BGA 303	BAUIA	\N	1	hrnčí2019a	\N	\N	2024-11-01 13:02:23	sam@localhost	2024-11-01 13:02:23	sam@localhost
G14247	BGB 6	BAUIA	\N	1	hrnčí2019a	\N	\N	2024-11-01 13:02:23	sam@localhost	2024-11-01 13:02:23	sam@localhost
G14248	BGB 8	BAUIA	\N	1	hrnčí2019a	\N	\N	2024-11-01 13:02:23	sam@localhost	2024-11-01 13:02:23	sam@localhost
G14249	BGB 10	BAUIA	\N	1	hrnčí2019a	\N	\N	2024-11-01 13:02:23	sam@localhost	2024-11-01 13:02:23	sam@localhost
G14250	BGB 13	BAUIA	\N	1	hrnčí2019a	\N	\N	2024-11-01 13:02:23	sam@localhost	2024-11-01 13:02:23	sam@localhost
G14251	BGS 1	BAUIA	\N	1	hrnčí2019a	\N	\N	2024-11-01 13:02:23	sam@localhost	2024-11-01 13:02:23	sam@localhost
G14252	BGS 4	BAUIA	\N	1	hrnčí2019a	\N	\N	2024-11-01 13:02:23	sam@localhost	2024-11-01 13:02:23	sam@localhost
G14253	BGS 5	BAUIA	\N	1	hrnčí2019a	\N	\N	2024-11-01 13:02:23	sam@localhost	2024-11-01 13:02:23	sam@localhost
G14254	BGS 6	BAUIA	\N	1	hrnčí2019a	\N	\N	2024-11-01 13:02:23	sam@localhost	2024-11-01 13:02:23	sam@localhost
G14255	BGS 7	BAUIA	\N	1	hrnčí2019a	\N	\N	2024-11-01 13:02:23	sam@localhost	2024-11-01 13:02:23	sam@localhost
G14256	BGS 8	BAUIA	\N	1	hrnčí2019a	\N	\N	2024-11-01 13:02:23	sam@localhost	2024-11-01 13:02:23	sam@localhost
G14257	BGS 9	BAUIA	\N	1	hrnčí2019a	\N	\N	2024-11-01 13:02:23	sam@localhost	2024-11-01 13:02:23	sam@localhost
G14258	BGS 10	BAUIA	\N	1	hrnčí2019a	\N	\N	2024-11-01 13:02:23	sam@localhost	2024-11-01 13:02:23	sam@localhost
G14259	BGS 11	BAUIA	\N	1	hrnčí2019a	\N	\N	2024-11-01 13:02:23	sam@localhost	2024-11-01 13:02:23	sam@localhost
G14260	BGS 12	BAUIA	\N	1	hrnčí2019a	\N	\N	2024-11-01 13:02:23	sam@localhost	2024-11-01 13:02:23	sam@localhost
G14261	BGS 15	BAUIA	\N	1	hrnčí2019a	\N	\N	2024-11-01 13:02:23	sam@localhost	2024-11-01 13:02:23	sam@localhost
G14262	BGS 16	BAUIA	\N	1	hrnčí2019a	\N	\N	2024-11-01 13:02:23	sam@localhost	2024-11-01 13:02:23	sam@localhost
G14263	BGS 17	BAUIA	\N	1	hrnčí2019a	\N	\N	2024-11-01 13:02:23	sam@localhost	2024-11-01 13:02:23	sam@localhost
G14264	BGS 18	BAUIA	\N	1	hrnčí2019a	\N	\N	2024-11-01 13:02:23	sam@localhost	2024-11-01 13:02:23	sam@localhost
G14265	BGS 20	BAUIA	\N	1	hrnčí2019a	\N	\N	2024-11-01 13:02:23	sam@localhost	2024-11-01 13:02:23	sam@localhost
G14266	BGS 38	BAUIA	\N	1	hrnčí2019a	\N	\N	2024-11-01 13:02:23	sam@localhost	2024-11-01 13:02:23	sam@localhost
G14267	BGS 39	BAUIA	\N	1	hrnčí2019a	\N	\N	2024-11-01 13:02:23	sam@localhost	2024-11-01 13:02:23	sam@localhost
G14801	116	LARMO	\N	1	hrnčí2019a	\N	\N	2024-11-01 13:02:23	sam@localhost	2024-11-01 13:02:23	sam@localhost
G14802	121	LARMO	\N	1	hrnčí2019a	\N	\N	2024-11-01 13:02:23	sam@localhost	2024-11-01 13:02:23	sam@localhost
G14803	218	LARMO	\N	1	hrnčí2019a	\N	\N	2024-11-01 13:02:23	sam@localhost	2024-11-01 13:02:23	sam@localhost
G14804	350	LARMO	\N	1	hrnčí2019a	\N	\N	2024-11-01 13:02:23	sam@localhost	2024-11-01 13:02:23	sam@localhost
G14805	358	LARMO	\N	1	hrnčí2019a	\N	\N	2024-11-01 13:02:23	sam@localhost	2024-11-01 13:02:23	sam@localhost
