MaterialCultureID	PhaseID	ItemID	Object	Material	MaterialType	TaxonCode	ShapeFace	ShapeSection	Preservation	Decorated	Retouched	Polished	Perforated	Flat	DecorStyle	DecorTechn	DecorTool1	DecorTool2	DecorTool3	DecorToolTaxonCode	PerforationsNumber	PerforationMorphology	Height/Length	Width	Quantity	CitationID	notes	morphometrics	time_added	user_added	time_last_update	user_last_update
M001834	STOREFL1	Item-12715	awl	bone	animal: bird	avesind	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	1	allen2022a	\N	no	2023-01-25 11:29:30	robert@localhost	2025-03-24 16:00:19	adrian@localhost
M001835	STOREFL1	Item-12714	\N	bone	animal: swan	cygncyg	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	allen2022a	\N	no	2023-01-25 11:29:30	robert@localhost	2025-03-24 16:00:19	adrian@localhost
M001862	STOREFL1	Item-12715	purse	organic	\N	\N	\N	\N	dissolved	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	1	allen2022a	\N	no	2023-01-25 11:29:30	robert@localhost	2025-03-24 16:00:19	adrian@localhost
M001863	STOREFL1	Item-12715	tinder	fungus	fungus: hoof fungus	FOMEFOM	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	1	allen2022a	\N	no	2023-01-25 11:29:30	robert@localhost	2025-03-24 16:00:19	adrian@localhost
M001864	STOREFL1	Item-12715	strike-a-light	stone	pyrite	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	1	allen2022a	\N	no	2023-01-25 11:29:30	robert@localhost	2025-03-24 16:00:19	adrian@localhost
M001885	STOREFL1	Item-12715	strike-a-light	stone	flint	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	1	allen2022a	\N	no	2023-01-25 11:29:30	robert@localhost	2025-03-24 16:00:19	adrian@localhost
M001886	STOREFL1	Item-12715	flake	stone	flint	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	5	allen2022a	\N	no	2023-01-25 11:29:30	robert@localhost	2025-03-24 16:00:19	adrian@localhost
M009256	PELAZBB1	\N	vessel	clay	clay: pottery	\N	\N	\N	\N	yes	no	no	no	no	Bands: geometric	incised	\N	\N	\N	\N	0	\N	\N	\N	1	atién2018a	\N	no	2023-05-02 14:30:46	lea@localhost	2025-03-24 16:00:19	adrian@localhost
M009257	PELAZBB1	\N	vessel	clay	clay: pottery	\N	\N	\N	\N	yes	no	no	no	no	Bands: geometric	mixed: impressed and incised	indented	\N	\N	\N	0	\N	\N	\N	1	atién2018a	\N	no	2023-05-02 14:30:46	lea@localhost	2025-03-24 16:00:19	adrian@localhost
M009258	PELAZBB1	\N	vessel	clay	clay: pottery	\N	\N	\N	\N	yes	no	no	no	no	Lines: horizontal	impressed	indented	\N	\N	\N	0	\N	\N	\N	1	atién2018a	\N	no	2023-05-02 14:30:46	lea@localhost	2025-03-24 16:00:19	adrian@localhost
M009259	PELAZBB2	\N	vessel	clay	clay: pottery	\N	\N	\N	\N	yes	no	no	no	no	Bands: geometric	incised	\N	\N	\N	\N	0	\N	\N	\N	1	atién2018a	\N	no	2023-05-02 14:30:46	lea@localhost	2025-03-24 16:00:19	adrian@localhost
M009260	PELAZBB2	\N	vessel	clay	clay: pottery	\N	\N	\N	\N	yes	no	no	no	no	Bands: geometric	incised	\N	\N	\N	\N	0	\N	\N	\N	1	atién2018a	\N	no	2023-05-02 14:30:46	lea@localhost	2025-03-24 16:00:19	adrian@localhost
M009261	PELAZBB2	\N	vessel	clay	clay: pottery	\N	\N	\N	\N	yes	no	no	no	no	Complex	incised	\N	\N	\N	\N	0	\N	\N	\N	1	atién2018a	\N	no	2023-05-02 14:30:46	lea@localhost	2025-03-24 16:00:19	adrian@localhost
M009262	PELAZBB3	\N	vessel	clay	clay: pottery	\N	\N	\N	\N	yes	no	no	no	no	Complex	mixed: impressed and incised	indented	\N	\N	\N	0	\N	\N	\N	1	atién2018a	\N	no	2023-05-02 14:30:46	lea@localhost	2025-03-24 16:00:19	adrian@localhost
M009263	PELAZBB3	\N	vessel	clay	clay: pottery	\N	\N	\N	\N	yes	no	no	no	no	Complex	mixed: impressed and incised	indented	\N	\N	\N	0	\N	\N	\N	1	atién2018a	\N	no	2023-05-02 14:30:46	lea@localhost	2025-03-24 16:00:19	adrian@localhost
M009264	PELAZBBS	\N	vessel	clay	clay: pottery	\N	\N	\N	\N	yes	no	no	no	no	Bands: geometric	incised	\N	\N	\N	\N	0	\N	\N	\N	1	atién2018a	\N	no	2023-05-02 14:30:46	lea@localhost	2025-03-24 16:00:19	adrian@localhost
M009265	PELAZBBS	\N	vessel	clay	clay: pottery	\N	\N	\N	\N	yes	no	no	no	no	Complex	mixed: impressed and incised	indented	\N	\N	\N	0	\N	\N	\N	1	atién2018a	\N	no	2023-05-02 14:30:46	lea@localhost	2025-03-24 16:00:19	adrian@localhost
M009266	PELAZBBS	\N	vessel	clay	clay: pottery	\N	\N	\N	\N	yes	no	no	no	no	Complex	mixed: impressed and incised	indented	\N	\N	\N	0	\N	\N	\N	1	atién2018a	\N	no	2023-05-02 14:30:46	lea@localhost	2025-03-24 16:00:19	adrian@localhost
M009267	PELAZBBS	\N	vessel	clay	clay: pottery	\N	\N	\N	\N	yes	no	no	no	no	Complex	incised	\N	\N	\N	\N	0	\N	\N	\N	1	atién2018a	\N	no	2023-05-02 14:30:46	lea@localhost	2025-03-24 16:00:19	adrian@localhost
M002873	PELAZOBB	\N	vessel	clay	clay: pottery	\N	\N	S-shaped	\N	yes	no	no	no	no	Complex	mixed: impressed and incised	\N	\N	\N	\N	0	\N	\N	\N	1	atién2016a	\N	no	2023-04-18 10:40:50	lea@localhost	2025-03-24 16:00:19	adrian@localhost
M002874	PELAZOBB	\N	vessel	clay	clay: pottery	\N	\N	S-shaped	\N	yes	no	no	no	no	Complex	incised	\N	\N	\N	\N	0	\N	\N	\N	1	atién2016a	\N	no	2023-04-18 10:40:50	lea@localhost	2025-03-24 16:00:19	adrian@localhost
M002875	PELAZOBB	\N	vessel	clay	clay: pottery	\N	bowl	hemispherical	\N	yes	no	no	no	no	Complex	mixed: impressed and incised	\N	\N	\N	\N	0	\N	\N	\N	1	atién2016a	\N	no	2023-04-18 10:40:50	lea@localhost	2025-03-24 16:00:19	adrian@localhost
M002876	PELAZOBB	\N	vessel	clay	clay: pottery	\N	bowl	hemispherical	\N	yes	no	no	no	no	Complex	incised	\N	\N	\N	\N	0	\N	\N	\N	1	atién2016a	\N	no	2023-04-18 10:40:50	lea@localhost	2025-03-24 16:00:19	adrian@localhost
