RiteID	IndividualID	Dismembered	Head	BodyPositioning	BurialSide	BurialOrientationMin	BurialOrientationMax	GraveGoods	Ochre	CitationID	time_added	user_added	time_last_update	user_last_update
R02366	C03292	no	\N	crouched	left	315	45	yes	no	olald2018a	2024-06-03 22:24:47	robert@localhost	2025-03-24 16:59:21	adrian@localhost
R02367	C03293	no	\N	crouched	\N	\N	\N	yes	no	olald2018a	2024-06-03 22:24:47	robert@localhost	2025-03-24 16:59:21	adrian@localhost
R02368	C03294	no	\N	crouched	back	\N	\N	yes	no	olald2018a	2024-06-03 22:24:47	robert@localhost	2025-03-24 16:59:21	adrian@localhost
R02369	C03295	no	\N	crouched	back	135	225	yes	no	olald2018a	2024-06-03 22:24:47	robert@localhost	2025-03-24 16:59:21	adrian@localhost
R02370	C03296	\N	\N	\N	\N	\N	\N	no	no	olald2018a	2024-06-03 22:24:47	robert@localhost	2025-03-24 16:59:21	adrian@localhost
R02371	C03297	\N	\N	\N	\N	\N	\N	no	no	olald2018a	2024-06-03 22:24:47	robert@localhost	2025-03-24 16:59:21	adrian@localhost
R02372	C03298	\N	\N	\N	\N	\N	\N	no	no	olald2018a	2024-06-03 22:24:47	robert@localhost	2025-03-24 16:59:21	adrian@localhost
R02373	C03299	\N	\N	\N	\N	\N	\N	no	no	olald2018a	2024-06-03 22:24:47	robert@localhost	2025-03-24 16:59:21	adrian@localhost
R03925	C09529	\N	\N	\N	\N	\N	\N	yes	\N	allen2022a	2024-06-03 22:24:47	robert@localhost	2025-03-24 16:58:09	adrian@localhost
R03926	C09530	\N	\N	\N	\N	\N	\N	yes	\N	allen2022a	2024-06-03 22:24:47	robert@localhost	2025-03-24 16:58:09	adrian@localhost
R03786	C09390	no	yes	\N	\N	\N	\N	no	no	allen2022a	2024-06-03 22:24:47	robert@localhost	2025-03-24 16:59:21	adrian@localhost
R00989	C03935	\N	\N	\N	\N	\N	\N	\N	\N	mathi2018a	2024-05-30 17:47:41	robert@localhost	2024-05-30 17:47:41	robert@localhost
R00990	C03936	no	\N	extended	back	\N	\N	\N	\N	mathi2018a	2024-05-30 17:47:41	robert@localhost	2025-03-24 16:54:27	adrian@localhost
R00991	C03937	no	\N	extended	back	\N	\N	\N	\N	mathi2018a	2024-05-30 17:47:41	robert@localhost	2025-03-24 16:54:27	adrian@localhost
R00992	C03938	no	\N	sitting	\N	\N	\N	\N	\N	mathi2018a	2024-05-30 17:47:41	robert@localhost	2025-03-24 16:54:27	adrian@localhost
R00993	C03939	\N	\N	\N	\N	\N	\N	\N	\N	mathi2018a	2024-05-30 17:47:41	robert@localhost	2024-05-30 17:47:41	robert@localhost
R00994	C03940	\N	\N	sitting	\N	\N	\N	\N	\N	mathi2018a	2024-05-30 17:47:41	robert@localhost	2024-06-03 22:36:06	robert@localhost
R00995	C03941	\N	\N	\N	\N	\N	\N	\N	\N	mathi2018a	2024-05-30 17:47:41	robert@localhost	2024-05-30 17:47:41	robert@localhost
R00996	C03942	\N	\N	extended	back	\N	\N	\N	\N	mathi2018a	2024-05-30 17:47:41	robert@localhost	2024-06-03 22:34:29	robert@localhost
R00997	C03943	\N	\N	extended	back	\N	\N	\N	\N	mathi2018a	2024-05-30 17:47:41	robert@localhost	2024-06-03 22:34:21	robert@localhost
R00998	C03944	\N	\N	sitting	\N	\N	\N	\N	\N	mathi2018a	2024-05-30 17:47:41	robert@localhost	2024-06-03 22:36:07	robert@localhost
R00999	C03945	\N	\N	crouched	\N	\N	\N	\N	\N	mathi2018a	2024-05-30 17:47:41	robert@localhost	2024-05-30 17:47:41	robert@localhost
R01000	C03946	\N	\N	extended	back	\N	\N	\N	\N	mathi2018a	2024-05-30 17:47:41	robert@localhost	2024-06-03 22:34:22	robert@localhost
R01001	C03947	\N	\N	crouched	\N	\N	\N	\N	\N	mathi2018a	2024-05-30 17:47:41	robert@localhost	2024-05-30 17:47:41	robert@localhost
R01002	C03948	yes	\N	\N	\N	\N	\N	\N	\N	borić2013a	2024-05-30 17:47:41	robert@localhost	2025-03-24 16:54:27	adrian@localhost
R01003	C03949	\N	\N	extended	back	\N	\N	\N	\N	mathi2018a	2024-05-30 17:47:41	robert@localhost	2024-06-03 22:34:22	robert@localhost
R01521	C07598	no	yes	crouched	right	90	180	yes	no	papac2021a	2024-05-30 17:47:41	robert@localhost	2025-03-24 16:59:21	adrian@localhost
R01522	C07599	no	yes	crouched	right	90	180	yes	no	papac2021a	2024-05-30 17:47:41	robert@localhost	2025-03-24 16:59:21	adrian@localhost
R01523	C07600	no	yes	crouched	right	90	180	yes	no	papac2021a	2024-05-30 17:47:41	robert@localhost	2025-03-24 16:59:21	adrian@localhost
R01524	C07601	no	yes	crouched	right	90	180	no	no	papac2021a	2024-05-30 17:47:41	robert@localhost	2025-03-24 16:59:21	adrian@localhost
R01525	C07602	no	yes	crouched	left	90	180	yes	no	papac2021a	2024-05-30 17:47:41	robert@localhost	2025-03-24 16:59:21	adrian@localhost
R01526	C07603	yes	\N	\N	\N	180	270	yes	no	papac2021a	2024-05-30 17:47:41	robert@localhost	2025-03-24 16:59:21	adrian@localhost
R01527	C07604	yes	\N	crouched	right	90	180	yes	no	papac2021a	2024-05-30 17:47:41	robert@localhost	2025-03-24 16:59:21	adrian@localhost
R01528	C07605	no	yes	crouched	right	90	180	yes	no	papac2021a	2024-05-30 17:47:41	robert@localhost	2025-03-24 16:59:21	adrian@localhost
