StrontSliceID	StrontiumID	SequenceOrder	Datapoints/slice	SequenceTime	Material	TaxonCode	87Sr/86Sr	2SE_87Sr/86Sr	2SD_87Sr/86Sr	87Rb/86Sr	2SE_87Rb/86Sr	Mean_SrBeam	84Sr/86Sr	2SE_84Sr/86Sr	ppm	notes	time_added	user_added	time_last_update	user_last_update
SL100718	15177	1	\N	52	enamel	homosap	0.70891	0.00013	\N	\N	\N	\N	\N	\N	\N	\N	2023-11-28 12:25:40	sam@localhost	2023-11-28 12:25:40	sam@localhost
SL100719	15177	2	\N	65	enamel	homosap	0.70892	0.00011	\N	\N	\N	\N	\N	\N	\N	\N	2023-11-28 12:25:40	sam@localhost	2023-11-28 12:25:40	sam@localhost
SL100720	15177	3	\N	86	enamel	homosap	0.70889	1e-04	\N	\N	\N	\N	\N	\N	\N	\N	2023-11-28 12:25:40	sam@localhost	2023-11-28 12:25:40	sam@localhost
SL100721	15177	4	\N	85	enamel	homosap	0.70937	8e-05	\N	\N	\N	\N	\N	\N	\N	\N	2023-11-28 12:25:40	sam@localhost	2023-11-28 12:25:40	sam@localhost
SL100722	15177	5	\N	84	enamel	homosap	0.70928	9e-05	\N	\N	\N	\N	\N	\N	\N	\N	2023-11-28 12:25:40	sam@localhost	2023-11-28 12:25:40	sam@localhost
SL100723	15177	6	\N	85	enamel	homosap	0.70942	9e-05	\N	\N	\N	\N	\N	\N	\N	\N	2023-11-28 12:25:40	sam@localhost	2023-11-28 12:25:40	sam@localhost
SL100724	15177	7	\N	86	enamel	homosap	0.70957	7e-05	\N	\N	\N	\N	\N	\N	\N	\N	2023-11-28 12:25:40	sam@localhost	2023-11-28 12:25:40	sam@localhost
SL100725	15177	8	\N	95	enamel	homosap	0.7094	7e-05	\N	\N	\N	\N	\N	\N	\N	\N	2023-11-28 12:25:40	sam@localhost	2023-11-28 12:25:40	sam@localhost
SL100726	15177	9	\N	95	enamel	homosap	0.70917	6e-05	\N	\N	\N	\N	\N	\N	\N	\N	2023-11-28 12:25:40	sam@localhost	2023-11-28 12:25:40	sam@localhost
SL100727	15177	10	\N	89	enamel	homosap	0.70939	8e-05	\N	\N	\N	\N	\N	\N	\N	\N	2023-11-28 12:25:40	sam@localhost	2023-11-28 12:25:40	sam@localhost
SL100728	15177	11	\N	88	enamel	homosap	0.70946	7e-05	\N	\N	\N	\N	\N	\N	\N	\N	2023-11-28 12:25:40	sam@localhost	2023-11-28 12:25:40	sam@localhost
SL100729	15177	12	\N	87	enamel	homosap	0.70927	8e-05	\N	\N	\N	\N	\N	\N	\N	\N	2023-11-28 12:25:40	sam@localhost	2023-11-28 12:25:40	sam@localhost
SL100730	15177	13	\N	58	enamel	homosap	0.70903	8e-05	\N	\N	\N	\N	\N	\N	\N	\N	2023-11-28 12:25:40	sam@localhost	2023-11-28 12:25:40	sam@localhost
SL100614	15171	1	\N	79	enamel	homosap	0.71206	0.00022	\N	\N	\N	\N	\N	\N	\N	\N	2023-11-28 12:25:40	sam@localhost	2023-11-28 12:25:40	sam@localhost
SL100615	15171	2	\N	101	enamel	homosap	0.71133	2e-04	\N	\N	\N	\N	\N	\N	\N	\N	2023-11-28 12:25:40	sam@localhost	2023-11-28 12:25:40	sam@localhost
SL100616	15171	3	\N	78	enamel	homosap	0.70911	0.00013	\N	\N	\N	\N	\N	\N	\N	\N	2023-11-28 12:25:40	sam@localhost	2023-11-28 12:25:40	sam@localhost
SL100617	15171	4	\N	83	enamel	homosap	0.70908	0.00011	\N	\N	\N	\N	\N	\N	\N	\N	2023-11-28 12:25:40	sam@localhost	2023-11-28 12:25:40	sam@localhost
SL100618	15171	5	\N	74	enamel	homosap	0.70922	0.00014	\N	\N	\N	\N	\N	\N	\N	\N	2023-11-28 12:25:40	sam@localhost	2023-11-28 12:25:40	sam@localhost
SL100619	15171	6	\N	86	enamel	homosap	0.70956	1e-04	\N	\N	\N	\N	\N	\N	\N	\N	2023-11-28 12:25:40	sam@localhost	2023-11-28 12:25:40	sam@localhost
SL100620	15171	7	\N	73	enamel	homosap	0.70958	1e-04	\N	\N	\N	\N	\N	\N	\N	\N	2023-11-28 12:25:40	sam@localhost	2023-11-28 12:25:40	sam@localhost
SL100621	15171	8	\N	88	enamel	homosap	0.70953	0.00014	\N	\N	\N	\N	\N	\N	\N	\N	2023-11-28 12:25:40	sam@localhost	2023-11-28 12:25:40	sam@localhost
SL100622	15171	9	\N	81	enamel	homosap	0.70941	1e-04	\N	\N	\N	\N	\N	\N	\N	\N	2023-11-28 12:25:40	sam@localhost	2023-11-28 12:25:40	sam@localhost
SL100623	15171	10	\N	80	enamel	homosap	0.70989	0.00013	\N	\N	\N	\N	\N	\N	\N	\N	2023-11-28 12:25:40	sam@localhost	2023-11-28 12:25:40	sam@localhost
SL100624	15171	11	\N	81	enamel	homosap	0.70943	0.00016	\N	\N	\N	\N	\N	\N	\N	\N	2023-11-28 12:25:40	sam@localhost	2023-11-28 12:25:40	sam@localhost
SL100625	15171	12	\N	81	enamel	homosap	0.70993	0.00012	\N	\N	\N	\N	\N	\N	\N	\N	2023-11-28 12:25:40	sam@localhost	2023-11-28 12:25:40	sam@localhost
SL100626	15171	13	\N	82	enamel	homosap	0.70961	0.00011	\N	\N	\N	\N	\N	\N	\N	\N	2023-11-28 12:25:40	sam@localhost	2023-11-28 12:25:40	sam@localhost
SL100627	15171	14	\N	117	enamel	homosap	0.70987	1e-04	\N	\N	\N	\N	\N	\N	\N	\N	2023-11-28 12:25:40	sam@localhost	2023-11-28 12:25:40	sam@localhost
SL100628	15171	15	\N	101	enamel	homosap	0.71006	0.00014	\N	\N	\N	\N	\N	\N	\N	\N	2023-11-28 12:25:40	sam@localhost	2023-11-28 12:25:40	sam@localhost
