StrontiumID	IndividualID	ItemID	Species	Material	SkeletalElement	SkeletalPosition	Leachate	Position	SegmentLength	SegmentMass	LabCode	Mean_87Sr/86Sr	Error	ppm	MassSpecType	notes	CitationID	time_added	user_added	time_last_update	user_last_update
15757	C09530	Item-12715	homosap	enamel	tooth: C	\N	\N	upper left	\N	\N	\N	0.709245	\N	\N	\N	\N	allen2024a	2024-08-14 10:29:21	sam@localhost	2025-03-31 10:25:31	sam@localhost
16033	C14436	\N	homosap	enamel	tooth: M1	\N	\N	\N	\N	\N	\N	0.71334	\N	\N	\N	\N	hrnčí2019a	2024-11-04 12:17:27	sam@localhost	2024-11-04 12:17:27	sam@localhost
17134	C14436	\N	homosap	enamel	tooth: M3	\N	\N	\N	\N	\N	\N	0.71253	\N	\N	\N	\N	hrnčí2019a	2024-11-04 12:17:27	sam@localhost	2024-11-04 12:17:27	sam@localhost
16699	C14437	\N	homosap	enamel	tooth: M2	\N	\N	\N	\N	\N	\N	0.70857	\N	\N	\N	\N	hrnčí2019a	2024-11-04 12:17:27	sam@localhost	2024-11-04 12:17:27	sam@localhost
17135	C14437	\N	homosap	enamel	tooth: M3	\N	\N	\N	\N	\N	\N	0.70979	\N	\N	\N	\N	hrnčí2019a	2024-11-04 12:17:27	sam@localhost	2024-11-04 12:17:27	sam@localhost
16700	C14438	\N	homosap	enamel	tooth: P1	\N	\N	\N	\N	\N	\N	0.70872	\N	\N	\N	\N	hrnčí2019a	2024-11-04 12:17:27	sam@localhost	2024-11-04 12:17:27	sam@localhost
17136	C14438	\N	homosap	enamel	tooth: M3	\N	\N	\N	\N	\N	\N	0.70867	\N	\N	\N	\N	hrnčí2019a	2024-11-04 12:17:27	sam@localhost	2024-11-04 12:17:27	sam@localhost
16701	C14439	\N	homosap	enamel	tooth: M2	\N	\N	\N	\N	\N	\N	0.70877	\N	\N	\N	\N	hrnčí2019a	2024-11-04 12:17:27	sam@localhost	2024-11-04 12:17:27	sam@localhost
17137	C14439	\N	homosap	enamel	tooth: M3	\N	\N	\N	\N	\N	\N	0.70872	\N	\N	\N	\N	hrnčí2019a	2024-11-04 12:17:27	sam@localhost	2024-11-04 12:17:27	sam@localhost
16034	C14440	\N	homosap	enamel	tooth: M1	\N	\N	\N	\N	\N	\N	0.70898	\N	\N	\N	\N	hrnčí2019a	2024-11-04 12:17:27	sam@localhost	2024-11-04 12:17:27	sam@localhost
16702	C14440	\N	homosap	enamel	tooth: M2	\N	\N	\N	\N	\N	\N	0.71028	\N	\N	\N	\N	hrnčí2019a	2024-11-04 12:17:27	sam@localhost	2024-11-04 12:17:27	sam@localhost
16035	C14441	\N	homosap	enamel	tooth: M1	\N	\N	\N	\N	\N	\N	0.70952	\N	\N	\N	\N	hrnčí2019a	2024-11-04 12:17:27	sam@localhost	2024-11-04 12:17:27	sam@localhost
17138	C14441	\N	homosap	enamel	tooth: M3	\N	\N	\N	\N	\N	\N	0.70864	\N	\N	\N	\N	hrnčí2019a	2024-11-04 12:17:27	sam@localhost	2024-11-04 12:17:27	sam@localhost
16036	C14442	\N	homosap	enamel	tooth: M1	\N	\N	\N	\N	\N	\N	0.70923	\N	\N	\N	\N	hrnčí2019a	2024-11-04 12:17:27	sam@localhost	2024-11-04 12:17:27	sam@localhost
16703	C14442	\N	homosap	enamel	tooth: M2	\N	\N	\N	\N	\N	\N	0.70912	\N	\N	\N	\N	hrnčí2019a	2024-11-04 12:17:27	sam@localhost	2024-11-04 12:17:27	sam@localhost
16037	C14443	\N	homosap	enamel	tooth: M1	\N	\N	\N	\N	\N	\N	0.70961	\N	\N	\N	\N	hrnčí2019a	2024-11-04 12:17:27	sam@localhost	2024-11-04 12:17:27	sam@localhost
17139	C14443	\N	homosap	enamel	tooth: M3	\N	\N	\N	\N	\N	\N	0.71034	\N	\N	\N	\N	hrnčí2019a	2024-11-04 12:17:27	sam@localhost	2024-11-04 12:17:27	sam@localhost
16038	C14444	\N	homosap	enamel	tooth: M1	\N	\N	\N	\N	\N	\N	0.7107	\N	\N	\N	\N	hrnčí2019a	2024-11-04 12:17:27	sam@localhost	2024-11-04 12:17:27	sam@localhost
17140	C14444	\N	homosap	enamel	tooth: M3	\N	\N	\N	\N	\N	\N	0.70937	\N	\N	\N	\N	hrnčí2019a	2024-11-04 12:17:27	sam@localhost	2024-11-04 12:17:27	sam@localhost
16039	C14445	\N	homosap	enamel	tooth: M1	\N	\N	\N	\N	\N	\N	0.70886	\N	\N	\N	\N	hrnčí2019a	2024-11-04 12:17:27	sam@localhost	2024-11-04 12:17:27	sam@localhost
16704	C14445	\N	homosap	enamel	tooth: P1	\N	\N	\N	\N	\N	\N	0.70879	\N	\N	\N	\N	hrnčí2019a	2024-11-04 12:17:27	sam@localhost	2024-11-04 12:17:27	sam@localhost
