S12036	Tsaghvli	Shida-kartli Region	42.120	43.699	Georgia	location of the village	2023-04-12 09:45:06	jelena@localhost	2023-04-12 09:45:06	jelena@localhost
S06786	Ballyman	\N	53.207	-6.149	Ireland	\N	\N	\N	\N	\N
S07494	Neuenfeld 17	\N	53.410	14.032	Germany	\N	\N	\N	\N	\N
S06825	Bolinready	\N	52.598	-6.337	Ireland	\N	\N	\N	\N	\N
S03710	Seekirch, Achwiesen	\N	48.108	9.641	Germany	the settlement area lies on the eastern shore of the northern Ried, about 150 meters west of a moraine spur (and N of Seekirch); there are no cultural layers exposed only near-surface buried horizons; there are optimal preservation conditions and even textiles are preserved, which in the bog settlements of Upper Swabia is a rarity; Herzog found the site in spring 1989 when investigating drainage ditchs; excavations and boreholes continued in 1990 (Koninger & Schlichterle 2004); archaeobotany: a botanical study had been carried out in 1989 (two box profiles, P2, P3 were taken) but the analysis of macro-remains was not done immediately and hence much of the material degraded (even though the samples were kept in moist conditions); it was therefore decided to re-sample in the summer of 1999; another small test trench was opened and box profile P1 was taken (comprising the whole culture layer sequence); in addition, directly next to the profile another single sample from the detritus layer  4 (sample E1) and two individual samples from the lower clay layer 5 (samples E2 and E3) were collected [Maier combines the taxa identified in profile 1 with those in the individual samples, e.g., all the samples taken in 1999 in one table (table 26) - I've recorded data in this table]; total volume of samples recorded in table 26: c. 5 litres; cultural layers were sampled as well as (?)detritus and clay layers (Maier comments that there were sheep/dung coprolites in the individual samples); samples were washed on a set of sieves (mesh sizes: 8, 4, 2, 1, 0.5 and 0.25 mm); a majority of taxa are preserved by waterlogging and most of these are wet-loving species (e.g. non economic plants); in the d/base I've been consistent with other sites & entered all charred remains+waterlogged taxa (e.g. fruits&nuts etc.) which had obviously been deliberately collected & brought to the site (e.g. Corylus, Fragaria, Malus, etc.); if a taxon is preserved by charring & waterlogging the ubiquity & total no relate to the former	\N	\N	\N	\N
S06386	Graenog	\N	53.019	-4.295	Great Britain	\N	\N	\N	\N	\N
S01266	BELLEVUE	\N	45.950	0.250	France	\N	\N	\N	\N	\N
S20952	Narde 1; Narde di Frattesina	\N	45.031	11.654	Italy	Location in publication	2025-01-31 12:26:07	sam@localhost	2025-04-06 13:40:24	biad@localhost
S11499	Малая Рублевка; Malaya Rublyovka	Poltava region (Полтавська область)	49.917	34.773	Ukraine	\N	2023-02-07 17:18:42	natalya@localhost	2023-02-07 17:18:42	natalya@localhost
S01963	Frigouras	\N	44.130	5.960	France	\N	\N	\N	2023-10-18 11:15:40	jelena@localhost
S06486	Manston	\N	51.337	1.376	Great Britain	\N	\N	\N	\N	\N
S06189	Balneaves	\N	56.638	-2.644	Great Britain	\N	\N	\N	\N	\N
S03289	Pevestorf	\N	53.050	11.454	Germany	\N	\N	\N	\N	\N
S12846	Kerk-Avezaath-Stenen Kamer	Zuid-Holland Province	51.898	5.383	Netherlands	based on the publication groot2024a (not exact location)	2024-11-06 12:03:34	jelena@localhost	2024-11-06 12:03:44	jelena@localhost
S02061	GRAPPIN GROTTE	\N	46.770	5.550	France	\N	\N	\N	\N	\N
